NumJ;NomJ;PrenomJ;DateNaissJ;NumLicJ;CodeEquipe
1;ACHARD;Patrick;09/09/1978;8752504422;E11
2;ANDRE;Pascal;01/07/1970;5008121528;E11
3;ANDRI;Henri;08/02/1977;7629104910;E16
4;ARNAUD;Philippe;09/03/1978;2439258097;E5
5;AUDOUARD;Jean-Claude;02/08/1971;6281306978;E4
6;AUGAGNEUR;Jean-Paul;16/04/1970;1599486091;E21
7;AUROI;Lucien;15/09/1984;1717995615;E23
8;BALEYDIER;Henri;26/08/1980;2380284764;E9
9;BALLIGAND;Serge;15/03/1984;1612514095;E8
10;BAVUSO;François;17/05/1971;5000559614;E5
11;BAYET;Benoit;01/07/1970;4589534716;E24
12;BAYET;Bruno;07/07/1976;6740352810;E14
13;BAYLE;Alexis;24/06/1978;4351189386;E7
14;BENOIT;Lucien;14/02/1983;4632074453;E4
15;BERGER;Christian;27/03/1981;9296088373;E11
16;BERNARD;Alain;01/01/1970;8414640626;E11
17;BERTHELIER;Patrick;21/09/1975;1479145860;E16
18;BERTHOLON;Gérard;26/02/1980;3485242400;E16
19;BLANCHIN;Gérard;18/06/1972;8969623885;E6
20;BONNAMOUR;Etienne;28/10/1982;2438961857;E13
21;BORY;Philippe;09/09/1978;9203553597;E8
22;BOS;Stanley;14/02/1983;4751805248;E1
23;BOUCHET;Philippe;12/06/1981;5530430833;E11
24;BOUCHET;Matéo;06/06/1975;2639252741;E7
25;BOURDON;Alain;09/03/1978;9193417985;E22
26;BOURDON;Denis;27/09/1981;1089306218;E4
27;BOYER;Christian;07/07/1976;7012541756;E1
28;BRISSE;Thierry;09/09/1978;5619171786;E3
29;BROCHIER;Alain;09/09/1978;5210040608;E9
30;BROERS;Detlef;18/06/1972;1263801968;E3
31;CARNAT;Robert;14/02/1983;5605470797;E24
32;CHAMBON;Pierre;30/06/1984;2726698993;E11
33;CHAPON;André;25/01/1979;1823471429;E6
34;CHAUSSAT;Jean-Marc;06/12/1975;7277253144;E8
35;CHERPIN;Guy;21/03/1975;5062487255;E16
36;CHIL;Gérard;10/10/1979;5398813190;E18
37;CIVRAIS;Christian;04/04/1973;9512374929;E11
38;CLAVELLOUX;Julien;27/03/1981;1416905043;E22
39;CLUZEL;Sylvain;06/12/1975;9660304226;E6
40;COMBETTE;Yves;26/02/1980;6254055335;E23
41;COQUARD;Alexandre;18/12/1972;8503836205;E3
42;CORNET;Antoine;29/11/1983;9648829727;E24
43;COTTE;Jean-René;23/11/1977;5110136938;E8
44;COUCHAUD;Gérard;25/01/1979;5112015742;E11
45;CROS;Aurélien;23/05/1977;6869070924;E4
46;DEBOVE;Christian;01/01/1970;2145441712;E9
47;DECLINE;Robert;08/08/1977;7551189660;E24
48;DEFOSSE;Michel;04/10/1973;2352941467;E3
49;DELORME;Joseph;15/09/1984;9662425113;E22
50;DELORME;André;19/01/1973;5295089264;E12
51;DENIS;Clément;01/01/1970;9329920308;E18
52;DESLANDES;Pascal;29/05/1983;6866170500;E15
53;DESSERLE;Guy;07/01/1976;3067332808;E2
54;DESSERT;Stéphane;21/03/1975;7174232436;E3
55;DIXNEUF;Patrick;23/11/1977;577468970;E16
56;DUBUS;Yvon;15/09/1984;9941118082;E11
57;DUPIN;Roger;07/07/1976;9167728364;E1
58;EMONET;Henri;03/09/1972;7662022926;E8
59;EPINAT;Olivier;03/03/1972;9317710292;E17
60;ESCOFFIER;Christian;05/05/1974;8424670982;E18
61;FAIDIT;Serge;29/11/1983;7440152704;E18
62;FAYOLLE;Pierre;09/09/1978;2538945178;E1
63;FEOLA;Jean-Michel;28/10/1982;9979318508;E4
64;FERRATON;Michel;12/12/1981;9569690997;E9
65;FERRE;Jean-Paul;10/10/1979;6313720571;E11
66;FERREOL;Emile;04/10/1973;6013397169;E3
67;FEUILLASTRE;Alain;27/03/1981;4268372373;E19
68;FORISSIER;Louis;18/06/1972;2516505686;E2
69;FORISSIER;Pierrick;08/08/1977;7665828677;E16
70;FRAGNE;Marcel;01/01/1970;6695628907;E2
71;FRANCE;Fernand;26/08/1980;3360603300;E13
72;GENEBRIER;Gaspard;12/12/1981;7032149395;E7
73;GENEVRIER;Gérard;03/03/1972;4265739911;E3
74;GIROMINI;Guy;19/07/1973;5813407382;E13
75;GRENETIER;Etienne;11/05/1980;1566199758;E19
76;GRIOT;Gilbert;04/10/1973;9279939640;E10
77;GUILLAUMONT;Alain;01/01/1970;6390936333;E21
78;GUILLOT;Claude;25/07/1979;7374530580;E14
79;GUILLOT;André;22/10/1976;369977694;E4
80;GUILLOT;Pierre;13/07/1982;3201489381;E12
81;GUILLOT;Jean;16/10/1970;1380121602;E7
82;HOGG;Jean-Claude;10/10/1979;2498442285;E23
83;HUBERT;André;27/03/1981;2667700509;E12
84;JACQUEMOND;Olivier;13/01/1982;8343781406;E5
85;JAUMOTTE;Jacques;20/02/1974;2190873432;E3
86;KLEIN;Jean-Luc;05/11/1974;6959171809;E15
87;KURADJIAN;Alain;15/09/1984;8202240814;E16
88;LACAZE;Roger;04/10/1973;7751213624;E9
89;LARDEREAU;Robert;25/07/1979;6150051573;E16
90;LAUROT;Pascale;25/01/1979;5896614054;E4
91;LAVAUD;Jacques;29/05/1983;9113309124;E11
92;LECONNETABLE;Claude;01/07/1970;7501456408;E7
93;LELOUP;Alain;03/09/1972;6666653550;E20
94;LEPETIT;François;15/03/1984;7744550552;E15
95;LEROUX;Philippe;27/09/1981;8945439794;E4
96;LORON;André;08/02/1977;1487102996;E8
97;LORON;Louis;29/11/1983;2594917897;E10
98;MANCINI;Olivier;04/10/1973;1528959838;E2
99;MARECHAL;Morgan;08/02/1977;7177573713;E21
